# doc pdvd/55 -- STM + Michel hand scan, tranches 1+2, tag smx1a.
# verdict/kind/tags/pin read from the label ARTIFACT; confidence from the scan record.
scan_id	tranche	key	muon_len_cm	chain_is_stm	chain_reject	verdict	michel_kind	confidence	n_obj	muon	michel	gamma	delta_other	pin_rr	stop_d_face	entry_d_face	undershoot
4	1	039252_0/77	125.7	1	STM	STM_ONLY	detached dots	high	2	1	0	1	0		35.2	0.2	0
27	1	039252_15/77	113.1	1	STM	STM_MICHEL	attached	high	3	1	2	0	0		79.0	0.5	0
30	1	039252_15/91	180.5	1	STM	STM_MICHEL	both	high	5	1	2	2	0		49.8	0.0	0
34	1	039252_16/88	304.5	1	STM	STM_MICHEL	attached	high	2	1	1	0	0		94.0	0.3	0
47	1	039252_2/83	30.1	1	STM	STM_MICHEL	both	high	7	1	3	3	0		27.1	0.3	0
52	1	039252_3/40	264.9	1	STM	STM_MICHEL	attached	high	2	1	1	0	0		73.8	10.2	0
55	1	039252_3/74	87.8	1	STM	STM_MICHEL	both	high	22	5	1	1	15		42.2	0.1	0
66	1	039252_6/114	224.7	0	no_bragg|shape_flat	THRU	none	high	8	4	0	0	4		148.0	11.2	0
81	1	039252_9/52	28.4	0	no_bragg|shape_flat	STM_MICHEL	both	high	8	1	3	4	0		9.5	0.6	0
112	1	039253_13/102	630.1	1	STM	STM_ONLY	detached dots	high	7	6	0	1	0		75.8	0.2	0
115	1	039253_14/49	269.2	1	STM	STM_MICHEL	both	high	8	1	2	4	1		104.1	2.2	0
117	1	039253_14/110	379.9	1	STM	STM_ONLY	detached dots	high	11	4	0	5	2		59.2	0.0	0
119	1	039253_15/36	321.8	1	STM	STM_ONLY	none	high	1	1	0	0	0		21.2	15.8	0
124	1	039253_15/105	577.7	0	no_bragg|shape_flat	STM_MICHEL	both	high	11	5	1	3	2		106.0	0.1	0
136	1	039253_2/34	22.4	1	STM	STM_MICHEL	attached	high	3	1	2	0	0		10.7	0.5	0
139	1	039253_2/89	256.6	1	STM	STM_MICHEL	attached	medium	6	3	3	0	0		118.3	0.1	0
141	1	039253_2/117	71.4	1	STM	STM_MICHEL	both	high	4	1	2	1	0		19.9	0.2	0
144	1	039253_3/66	162.1	1	STM	STM_MICHEL	attached	high	5	3	1	0	1		83.0	0.6	0
152	1	039253_5/107	25.8	1	STM	STM_ONLY	detached dots	high	3	1	0	2	0		23.0	0.2	0
170	1	039253_8/59	280.8	1	STM	STM_MICHEL	both	high	7	2	2	2	1		105.0	1.4	0
171	1	039253_8/62	274.6	1	STM	STM_MICHEL	both	high	17	7	2	3	5		70.9	1.1	0
178	1	039349_0/68	279.3	0	no_bragg|shape_flat	THRU	none	high	7	4	0	0	3		61.3	0.1	0
181	1	039349_10/27	238.1	0	shape_flat	THRU	none	high	13	8	0	0	5		139.2	1.3	0
194	1	039349_12/45	120.4	0	profile_sparse	FRAG_THRU	none	medium	6	5	0	0	1	58.78	19.0	16.9	0
210	1	039349_15/59	253.7	0	no_bragg|shape_flat	THRU	none	high	1	1	0	0	0		111.7	0.1	0
221	1	039349_18/36	147.4	0	no_bragg|shape_flat	STM_MICHEL	attached	high	8	7	1	0	0	9.56	52.2	0.4	0
229	1	039349_2/38	70.9	0	shape_flat	STM_ONLY	none	high	7	4	0	0	3		57.1	3.4	0
241	1	039349_21/51	198.6	0	no_bragg|shape_flat	STM_MICHEL	both	high	7	3	1	2	1		37.8	0.3	0
249	1	039349_22/64	477.0	1	STM	STM_ONLY	detached dots	high	9	7	0	1	1		79.2	1.4	0
261	1	039349_25/47	242.7	1	STM	STM_ONLY	none	high	3	2	0	0	1		82.3	1.8	0
264	1	039349_26/18	74.2	0	no_bragg|shape_flat	STM_ONLY	detached dots	high	5	3	0	1	1		47.2	21.1	0
266	1	039349_26/40	27.4	0	no_bragg|shape_flat	STM_MICHEL	both	medium	4	1	1	2	0	0.6	16.8	0.6	0
270	1	039349_27/41	70.8	0	stop_near_boundary	STM_MICHEL	attached	medium	2	1	1	0	0		66.7	0.2	0
273	1	039349_28/36	348.4	1	STM	STM_MICHEL	both	high	12	5	4	3	0		54.5	0.0	0
275	1	039349_28/52	91.7	0	shape_flat|plateau_off_mip	MESSY	none	high	26	0	0	0	26		50.9	3.0	0
281	1	039349_29/45	231.9	0	shape_flat	STM_MICHEL	both	high	7	1	1	5	0		70.4	1.9	0
285	1	039349_3/46	16.8	0	shape_flat	STM_MICHEL	attached	medium	2	1	1	0	0		17.1	0.5	0
314	1	039349_35/62	219.8	1	STM	STM_MICHEL	attached	high	4	1	3	0	0		79.8	1.2	0
317	1	039349_36/41	51.8	1	STM	STM_MICHEL	attached	high	5	3	2	0	0		21.9	1.0	0
329	1	039349_38/60	119.4	1	STM	THRU	none	medium	1	1	0	0	0		35.3	0.1	0
337	1	039349_4/47	44.9	0	no_bragg|shape_flat	THRU	none	high	2	2	0	0	0		11.6	0.6	0
342	1	039349_40/49	56.0	0	plateau_off_mip	MESSY	none	high	21	0	0	0	21		21.9	3.1	0
352	1	039349_43/54	86.8	1	STM	STM_MICHEL	attached	high	4	1	2	1	0		71.6	0.3	0
368	1	039349_46/58	29.6	0	shape_flat|profile_sparse	MESSY	none	high	19	0	0	0	19		20.1	11.3	0
376	1	039349_48/49	186.1	1	STM	STM_ONLY	detached dots	high	3	1	0	2	0		40.8	0.1	0
410	1	039349_54/54	181.4	1	STM	STM_MICHEL	attached	high	6	3	1	2	0		33.8	0.1	0
436	1	039349_59/61	266.6	1	STM	STM_MICHEL	attached	high	3	1	1	1	0		64.9	15.4	0
444	1	039349_61/18	99.3	1	STM	STM_MICHEL	attached	high	3	2	1	0	0		45.6	8.8	0
460	1	039349_63/48	365.1	0	no_bragg|shape_flat|stop_near_boundary	THRU	none	high	7	2	0	0	5		0.1	2.2	0
470	1	039349_64/71	257.4	1	STM	STM_MICHEL	both	high	6	2	2	1	1		52.7	7.7	0
474	1	039349_66/78	209.2	0	no_bragg|shape_flat	STM_ONLY	detached dots	medium	11	5	0	3	3		68.5	0.3	0
481	1	039349_67/78	83.7	0	shape_flat	STM_MICHEL	both	medium	4	1	2	1	0	4.8	58.5	0.8	0
498	1	039349_7/67	58.0	1	STM	STM_MICHEL	attached	medium	7	4	2	1	0		15.7	1.1	0
514	1	039349_72/65	267.0	1	STM	STM_MICHEL	attached	high	5	3	2	0	0		54.2	0.1	0
524	1	039349_75/72	163.0	0	shape_flat|profile_sparse	MESSY	none	high	17	0	0	0	17		112.5	63.6	0
529	1	039349_76/75	181.3	1	STM	STM_ONLY	none	medium	3	2	0	0	1		84.2	17.3	0
554	1	039349_81/54	105.2	0	shape_flat|plateau_off_mip	MESSY	none	high	53	0	0	0	53		19.3	3.3	0
558	1	039349_82/52	103.3	1	STM	STM_ONLY	none	high	8	3	0	0	5		32.9	0.6	0
564	1	039349_83/60	172.9	1	STM	STM_MICHEL	attached	high	5	1	4	0	0		71.5	0.0	0
568	1	039349_9/47	231.0	1	STM	STM_MICHEL	both	high	7	1	4	2	0		45.3	0.1	0
1	2	039252_0/35	309.1	0	no_bragg|shape_flat	THRU	none	high	8	2	0	0	6		45.3	0.6	0
2	2	039252_0/75	323.2	0	no_bragg|shape_flat	STM_MICHEL	attached	medium	9	3	5	0	1		103.9	0.6	0
3	2	039252_0/76	362.9	1	STM	STM_ONLY	detached dots	high	5	3	0	1	1		69.9	0.0	0
5	2	039252_0/82	107.4	1	STM	STM_MICHEL	both	high	5	1	2	2	0		21.1	0.2	0
6	2	039252_1/30	132.7	1	STM	STM_MICHEL	both	high	5	1	2	2	0		115.3	10.3	0
7	2	039252_1/36	236.7	0	no_bragg|shape_flat|stop_near_boundary	THRU	none	high	12	8	0	0	4		0.0	9.3	0
8	2	039252_10/73	350.1	1	STM	STM_MICHEL	attached	high	5	4	1	0	0		105.8	0.4	0
9	2	039252_10/103	139.8	1	STM	STM_ONLY	detached dots	medium	6	1	0	1	4		41.8	8.7	0
10	2	039252_12/44	158.8	1	STM	STM_ONLY	detached dots	high	4	2	0	2	0		104.8	30.1	0
11	2	039252_12/45	86.6	0	shape_flat	THRU	none	medium	1	1	0	0	0		42.2	11.8	0
12	2	039252_12/88	43.6	0	no_bragg|shape_flat|plateau_off_mip	THRU	none	high	1	1	0	0	0		3.1	4.6	0
13	2	039252_12/90	125.7	0	no_bragg|shape_flat	THRU	none	high	7	1	0	0	6		41.4	1.1	0
14	2	039252_12/95	155.1	0	shape_flat	STM_MICHEL	both	high	12	5	1	1	5		75.7	0.4	0
15	2	039252_12/114	62.3	0	no_bragg|plateau_off_mip	THRU	none	medium	6	2	0	0	4		40.7	0.7	0
16	2	039252_12/123	265.4	0	no_bragg	STM_ONLY	detached dots	medium	6	3	0	1	2		73.4	0.7	0
17	2	039252_12/130	719.0	0	no_bragg|shape_flat|plateau_off_mip	THRU	none	high	17	14	0	0	3		3.1	11.4	0
18	2	039252_13/66	170.3	0	profile_sparse	MESSY	none	medium	21	0	0	0	21		57.9	0.1	0
19	2	039252_13/74	202.2	0	no_bragg|shape_flat	THRU	none	medium	3	2	0	0	1		37.8	18.4	0
20	2	039252_13/91	738.2	0	no_bragg|shape_flat|stop_near_boundary|plateau_off_mip	THRU	none	high	13	10	0	0	3		1.0	17.2	0
21	2	039252_14/37	100.6	1	STM	STM_MICHEL	both	high	8	1	2	2	3		24.5	0.4	0
22	2	039252_14/62	54.5	0	no_bragg|shape_flat|plateau_off_mip	THRU	none	medium	1	1	0	0	0		29.4	0.1	0
23	2	039252_14/64	96.1	0	no_bragg|shape_flat|plateau_off_mip	THRU	none	medium	10	8	0	0	2		46.2	0.7	0
24	2	039252_14/81	105.6	1	STM	STM_MICHEL	both	medium	6	1	3	1	1		46.8	0.3	0
25	2	039252_14/84	160.9	0	no_bragg|shape_flat	THRU	none	high	1	1	0	0	0		64.9	0.1	0
26	2	039252_15/32	33.8	0	shape_flat	THRU	none	medium	7	2	0	0	5		18.9	0.6	0
28	2	039252_15/81	206.4	0	no_bragg|shape_flat	STM_MICHEL	both	high	5	1	2	1	1	2.4	37.1	0.8	0
29	2	039252_15/82	34.7	1	STM	STM_MICHEL	attached	high	4	1	1	0	2		7.9	0.6	0
31	2	039252_16/32	133.4	0	profile_sparse	STM_MICHEL	attached	high	6	3	2	0	1	3.35	89.2	104.7	0
32	2	039252_16/33	144.3	0	no_bragg|stop_near_boundary	THRU	none	high	11	6	0	0	5		1.5	0.3	0
33	2	039252_16/40	72.5	1	STM	STM_ONLY	detached dots	high	11	1	0	2	8		41.3	31.7	0
35	2	039252_16/91	117.5	0	shape_flat|profile_sparse	MESSY	none	medium	20	0	0	0	20		22.5	3.2	0
36	2	039252_16/98	16.2	0	shape_flat|profile_sparse	STM_MICHEL	both	high	8	1	6	1	0	3.6	13.8	0.2	0
37	2	039252_16/108	80.8	0	plateau_off_mip	STM_ONLY	none	high	13	7	0	0	6		49.8	8.8	0
38	2	039252_16/110	155.6	0	no_bragg|shape_flat	STM_ONLY	detached dots	high	4	2	0	2	0	3.6	67.3	0.5	0
39	2	039252_17/80	152.6	0	no_bragg|shape_flat	THRU	none	medium	8	3	0	0	5		94.7	3.5	0
40	2	039252_17/88	68.5	0	plateau_off_mip	STM_MICHEL	attached	high	7	1	1	0	5		45.1	0.9	0
41	2	039252_17/90	193.7	0	no_bragg|shape_flat	THRU	none	medium	9	5	0	0	4		29.6	0.7	0
42	2	039252_17/91	21.5	0	stop_unmatched|no_bragg|shape_flat	THRU	none	low	4	2	0	0	2		14.6	0.2	0
43	2	039252_17/104	194.6	0	shape_flat	STM_ONLY	detached dots	high	6	2	0	1	3		116.0	4.0	0
44	2	039252_2/39	43.2	0	no_bragg|shape_flat	STM_MICHEL	both	high	5	1	3	1	0	11.04	14.1	0.5	0
45	2	039252_2/55	30.6	0	shape_flat	STM_MICHEL	both	high	4	1	2	1	0		17.8	0.5	0
46	2	039252_2/79	149.7	0	no_bragg|shape_flat	THRU	none	high	1	1	0	0	0		36.9	2.3	0
48	2	039252_2/86	65.7	1	STM	STM_MICHEL	both	high	4	1	2	1	0		57.6	0.9	0
49	2	039252_2/87	162.9	0	no_bragg|shape_flat|stop_near_boundary|plateau_off_mip	THRU	none	high	7	5	0	0	2		4.4	2.6	0
50	2	039252_2/103	91.5	0	stop_near_boundary	STM_MICHEL	both	medium	8	1	3	4	0		0.7	1.2	0
51	2	039252_2/109	152.0	1	STM	STM_ONLY	detached dots	high	9	4	0	1	4		44.2	0.2	0
53	2	039252_3/45	13.2	0	no_bragg|shape_flat	THRU	none	low	4	2	0	0	2		7.6	0.8	0
54	2	039252_3/68	222.2	1	STM	STM_MICHEL	attached	high	10	4	1	0	5		116.5	0.2	0
56	2	039252_3/75	33.0	0	no_bragg|shape_flat	STM_ONLY	detached dots	medium	6	1	0	2	3		24.9	0.4	0
57	2	039252_3/90	116.6	0	shape_flat|profile_sparse	THRU	none	medium	5	4	0	0	1		13.2	4.0	0
58	2	039252_4/55	150.8	0	no_bragg|shape_flat	THRU	none	high	7	6	0	0	1		19.9	1.2	0
59	2	039252_5/73	62.3	0	shape_flat	STM_ONLY	detached dots	medium	10	4	0	1	5		26.3	0.7	1
60	2	039252_6/26	246.6	0	no_bragg|shape_flat	THRU	none	high	3	2	0	0	1		147.9	0.2	0
61	2	039252_6/88	68.3	0	shape_flat|profile_sparse	THRU	none	medium	6	5	0	0	1		12.6	12.1	0
62	2	039252_6/90	64.4	0	no_bragg|shape_flat|stop_near_boundary	THRU	none	high	1	1	0	0	0		0.1	5.8	0
63	2	039252_6/98	74.3	0	no_bragg|shape_flat	THRU	none	high	15	4	0	0	11		15.4	1.2	0
64	2	039252_6/100	103.6	0	no_bragg|shape_flat	STM_ONLY	detached dots	medium	3	2	0	1	0		15.8	0.1	0
65	2	039252_6/106	23.7	0	plateau_off_mip	STM_ONLY	none	high	1	1	0	0	0		7.5	0.1	0
67	2	039252_7/32	453.5	0	shape_flat	THRU	none	medium	7	6	0	0	1		145.2	0.5	0
68	2	039252_7/34	140.2	0	no_bragg|shape_flat	THRU	none	high	1	1	0	0	0		8.0	0.0	0
69	2	039252_7/37	96.2	0	no_bragg|shape_flat|plateau_off_mip	THRU	none	medium	9	5	0	0	4		15.8	0.6	0
70	2	039252_7/98	113.4	0	no_bragg|shape_flat	STM_MICHEL	both	medium	5	1	1	1	2		46.4	1.1	0
